policy_short,policy_long,policy_year,category,description
tuition,In-state tuition for undocumented students,tuition_0,integration,"State allows students who meet certain requirements to pay in-state tuition rates at its public colleges and universities, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years. "
tuition,In-state tuition for undocumented students,tuition_1,integration,"State allows students who meet certain requirements to pay in-state tuition rates at its public colleges and universities, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years. "
tuition,In-state tuition for undocumented students,tuition_2,integration,"State allows students who meet certain requirements to pay in-state tuition rates at its public colleges and universities, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years. "
tuition,In-state tuition for undocumented students,tuition_3,integration,"State allows students who meet certain requirements to pay in-state tuition rates at its public colleges and universities, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years. "
tuition,In-state tuition for undocumented students,tuition_4,integration,"State allows students who meet certain requirements to pay in-state tuition rates at its public colleges and universities, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years. "
tuition,In-state tuition for undocumented students,tuition_5,integration,"State allows students who meet certain requirements to pay in-state tuition rates at its public colleges and universities, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years. "
tuition,In-state tuition for undocumented students,tuition_6,integration,"State allows students who meet certain requirements to pay in-state tuition rates at its public colleges and universities, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years. "
tuition,In-state tuition for undocumented students,tuition_7,integration,"State allows students who meet certain requirements to pay in-state tuition rates at its public colleges and universities, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years. "
tuition,In-state tuition for undocumented students,tuition_8,integration,"State allows students who meet certain requirements to pay in-state tuition rates at its public colleges and universities, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years. "
tuition,In-state tuition for undocumented students,tuition_9,integration,"State allows students who meet certain requirements to pay in-state tuition rates at its public colleges and universities, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years. "
tuition,In-state tuition for undocumented students,tuition_10,integration,"State allows students who meet certain requirements to pay in-state tuition rates at its public colleges and universities, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years. "
tuition,In-state tuition for undocumented students,tuition_11,integration,"State allows students who meet certain requirements to pay in-state tuition rates at its public colleges and universities, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years. "
tuition,In-state tuition for undocumented students,tuition_12,integration,"State allows students who meet certain requirements to pay in-state tuition rates at its public colleges and universities, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years. "
tuition,In-state tuition for undocumented students,tuition_13,integration,"State allows students who meet certain requirements to pay in-state tuition rates at its public colleges and universities, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years. "
tuition,In-state tuition for undocumented students,tuition_14,integration,"State allows students who meet certain requirements to pay in-state tuition rates at its public colleges and universities, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years. "
tuition,In-state tuition for undocumented students,tuition_15,integration,"State allows students who meet certain requirements to pay in-state tuition rates at its public colleges and universities, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years. "
tuition,In-state tuition for undocumented students,tuition_16,integration,"State allows students who meet certain requirements to pay in-state tuition rates at its public colleges and universities, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years. "
financial,State financial aid for undocumented students,financial_0,integration,"State allows students who meet certain requirements to access state financial aid, regardless of their immigration status. Eligibility requirements usually include attending a state's high school system for a certain number of years. "
